codigo,Code,Life_Expe,Population,PBI
1,AFG,64.49,38041754,1.90E+10
2,AGO,60.78,31825295,8.90E+10
3,ALB,78.46,2854191,1.50E+10
4,ARE,77.81,9770529,4.20E+11
5,ARG,76.52,44938712,4.50E+11
6,ARM,74.95,2957731,1.40E+10
7,AUS,82.75,25364307,1.40E+12
8,AUT,81.69,8877067,4.50E+11
9,AZE,72.86,10023318,4.80E+10
10,BDI,61.25,11530580,3.00E+09
11,BEL,81.6,11484055,5.30E+11
12,BEN,61.47,11801151,1.40E+10
13,BFA,61.17,20321378,1.60E+10
14,BGD,72.32,163046161,3.00E+11
15,BGR,74.96,6975761,6.90E+10
16,BHR,77.16,1641172,3.90E+10
17,BIH,77.26,3301000,2.00E+10
18,BLR,74.18,9466856,6.30E+10
19,BOL,71.24,11513100,4.10E+10
20,BRA,75.67,211049527,1.80E+12
21,BWA,69.28,2303697,1.80E+10
22,CAF,52.81,4745185,2.20E+09
23,CAN,81.95,37589262,1.70E+12
24,CHE,83.75,8574832,7.00E+11
25,CHL,80.04,18952038,2.80E+11
26,CHN,76.7,1397715000,1.40E+13
27,CIV,57.42,25716544,5.90E+10
28,CMR,58.92,25876380,3.90E+10
29,COD,60.37,86790567,5.00E+10
30,COG,64.29,5380508,1.20E+10
31,COL,77.11,50339443,3.20E+11
32,CRI,80.1,5047561,6.20E+10
33,CYP,80.83,1198575,2.50E+10
34,CZE,79.03,10669709,2.50E+11
35,DEU,80.89,83132799,3.90E+12
36,DNK,80.95,5818553,3.50E+11
37,DOM,73.89,10738958,8.90E+10
38,DZA,76.69,43053054,1.70E+11
39,ECU,76.8,17373662,1.10E+11
40,EGY,71.83,100388073,3.00E+11
41,ESP,83.43,47076781,1.40E+12
42,EST,78.24,1326590,3.10E+10
43,ETH,66.24,112078730,9.60E+10
44,FIN,81.73,5520314,2.70E+11
45,FRA,82.72,67059887,2.70E+12
46,GAB,66.19,2172579,1.70E+10
47,GBR,81.26,66834405,2.80E+12
48,GEO,73.6,3720382,1.70E+10
49,GHA,63.78,30417856,6.70E+10
50,GIN,61.19,12771246,1.20E+10
51,GMB,61.74,2347706,1.80E+09
52,GNB,58,1920922,1.30E+09
53,GNQ,58.4,1355986,1.10E+10
54,GRC,81.79,10716322,2.10E+11
55,GTM,74.06,16604026,7.70E+10
56,HKG,84.93,7507400,3.70E+11
57,HND,75.09,9746117,2.50E+10
58,HRV,78.07,4067500,6.10E+10
59,HTI,63.66,11263077,1.40E+10
60,HUN,76.07,9769949,1.60E+11
61,IDN,71.51,270625568,1.10E+12
62,IND,69.42,1366417754,2.90E+12
63,IRL,82.26,4941444,3.90E+11
64,IRQ,70.45,39309783,2.30E+11
65,ISR,82.8,9053300,4.00E+11
66,ITA,83.35,60297396,2.00E+12
67,JAM,74.37,2948279,1.60E+10
68,JOR,74.41,10101694,4.50E+10
69,JPN,84.21,126264931,5.10E+12
70,KAZ,73.15,18513930,1.80E+11
71,KEN,66.34,52573973,9.60E+10
72,KGZ,71.4,6456900,8.50E+09
73,KHM,69.57,16486542,2.70E+10
74,KOR,82.63,51709098,1.70E+12
75,KWT,75.4,4207083,1.40E+11
76,LAO,67.61,7169455,1.80E+10
77,LBN,78.88,6855713,5.20E+10
78,LBR,63.73,4937374,3.10E+09
79,LBY,72.72,6777452,5.20E+10
80,LKA,76.81,21803000,8.40E+10
81,LSO,53.71,2125268,2.40E+09
82,LTU,75.68,2786844,5.50E+10
83,LVA,74.78,1912789,3.40E+10
84,MAR,76.45,36471769,1.20E+11
85,MDA,71.81,2657637,1.20E+10
86,MDG,66.68,26969307,1.40E+10
87,MEX,74.99,127575529,1.30E+12
88,MKD,75.69,2083459,1.30E+10
89,MLI,58.89,19658031,1.70E+10
90,MMR,66.87,54045420,7.60E+10
91,MNG,69.69,3225167,1.40E+10
92,MOZ,60.16,30366036,1.50E+10
93,MRT,64.7,4525696,7.60E+09
94,MUS,74.42,1265711,1.40E+10
95,MWI,63.8,18628747,7.70E+09
96,MYS,76,31949777,3.70E+11
97,NAM,63.37,2494530,1.20E+10
98,NER,62.02,23310715,1.30E+10
99,NGA,54.33,200963599,4.50E+11
100,NIC,74.28,6545502,1.30E+10
101,NLD,81.81,17332850,9.10E+11
102,NOR,82.76,5347896,4.00E+11
103,NPL,70.48,28608710,3.10E+10
104,NZL,81.86,4917000,2.10E+11
105,OMN,77.63,4974986,7.60E+10
106,PAK,67.11,216565318,2.80E+11
107,PAN,78.33,4246439,6.70E+10
108,PER,76.52,32510453,2.30E+11
109,PHL,71.1,108116615,3.80E+11
110,PNG,64.26,8776109,2.50E+10
111,POL,77.6,37970874,6.00E+11
112,PRI,79.78,3193694,1.10E+11
113,PRT,81.32,10269417,2.40E+11
114,PRY,74.13,7044636,3.80E+10
115,QAT,80.1,2832067,1.80E+11
116,ROU,75.36,19356544,2.50E+11
117,RUS,72.66,144373535,1.70E+12
118,RWA,68.7,12626950,1.00E+10
119,SAU,75,34268528,7.90E+11
120,SDN,65.1,42813238,3.10E+10
121,SEN,67.67,16296364,2.40E+10
122,SGP,83.15,5703569,3.70E+11
123,SLE,54.31,7813215,4.10E+09
124,SLV,73.1,6453553,2.70E+10
125,SRB,75.89,6944975,5.10E+10
126,SVK,77.27,5454073,1.10E+11
127,SVN,81.38,2087946,5.40E+10
128,SWE,82.56,10285453,5.30E+11
129,SWZ,59.4,1148130,4.50E+09
130,TCD,53.98,15946876,1.10E+10
131,TGO,60.76,8082366,5.50E+09
132,THA,76.93,69625582,5.40E+11
133,TJK,70.88,9321018,8.10E+09
134,TLS,69.26,1293119,2.00E+09
135,TTO,73.38,1394973,2.40E+10
136,TUN,76.51,11694719,3.90E+10
137,TUR,77.44,83429615,7.60E+11
138,TZA,65.02,58005463,6.30E+10
139,UGA,62.97,44269594,3.50E+10
140,UKR,71.58,44385155,1.50E+11
141,URY,77.77,3461734,5.60E+10
142,USA,78.54,328239523,2.10E+13
143,UZB,71.57,33580650,5.80E+10
144,VNM,75.32,96462106,2.60E+11
145,XKX,72.2,1794248,7.90E+09
146,YEM,66.1,29161922,2.30E+10
147,ZAF,63.86,58558270,3.50E+11
148,ZMB,63.51,17861030,2.30E+10
149,ZWE,61.2,14645468,2.10E+10
